time,action,metric0,metric2,metric1,metric3,metric4,metric5,metric6,metric7,metric8,metric9,metric10,metric11,metric12,metric13,metric14,metric15,metric16,metric17,metric18,metric19,metric20,metric21,metric22,metric23,metric24,metric25,metric26,metric27,metric28,metric29,metric30,metric31,metric32,metric33,metric34,metric35,metric36,metric37,metric38,metric39,metric40,metric41,metric42,metric43,metric44,metric45
1641816855103,0,0.23962962740615676,0.09446560515388373,5.0,0.4601725962666342,9526.588,3.7536680000000002,15492.468912,8508.25,5.602146634292858,13905.097182857831,8534.764285714286,5.601334755653572,13914.924745773153,23.05,638523.0399999999,638512.3,13612.62,15.24,4.479463008E7,1.68820736E9,1.739541446656E10,6.6469037279999994E7,88.30999999999999,0.00826,0.51533,4.254916608E7,2.8416102375E8,3.072915632E7,37.12,40.12,40.12,6.6866666666666665,4.064,-0.19023807525037253,16384.0,481.93999999999994,1.6418102227774E9,6492.682,0.010986002805,24.639999999999997,24.639999999999997,0.39,19.2,-0.18886630413026145,2.259,0.25
1641817158175,-1,0.6523296160853552,0.09446560515388373,5.0,0.5461597745920543,13077.135999999999,9.542632,23580.713347999997,11008.07,12.15926795684,19356.574884783346,7074.298463356975,11.403565960974822,12378.392626737263,55.06,697381.92,697412.78,13541.3,191.6,1.169616264E8,1.68820736E9,2.93081186304E10,4.4136468512000006E8,172.59,0.040010000000000004,1.40671,5.9279196160000004E7,2.8416102375E8,4.415679256E7,54.4,57.4,57.4,9.573333333333332,1690.536,-0.17354379034839262,16384.0,1215.8600000000001,1.6418102227774E9,6792.68052,0.011270721170000001,30.925,30.925,0.315,19.2,-0.1690991227268173,5.9134,0.25
1641817461659,2,1.063243838269305,0.09446560515388373,4.0,0.6060866287060931,22495.435,10.41579,41219.029685,18509.600000000002,12.067348465495833,33991.73770209845,10595.619047619048,8.017170297304252,19453.73894525065,41.3,699577.9,699558.5625,13514.2,186.5,1.30694939E8,1.68820736E9,4.78435344384E10,1.086165127E9,291.0125,0.0422375,2.6375625,7.2796672E7,2.8416102375E8,5.060258245E7,56.0,59.0,59.0,9.833333333333334,1983.19,-0.21126253128157352,16384.0,1324.55,1.64180874469025E9,8570.71685,0.281633862665,25.595,25.595,0.045,20.0,-0.2065042718789619,6.4795,0.2
1641817765107,2,1.0204858834236061,0.09446560515388373,6.0,0.5845857645621568,25170.685833333333,3.960605833333333,43976.46347333333,24936.821666666667,3.4917922880458336,43738.13610134248,15602.929166666667,1.5888568175659226,27372.386688265895,24.433333333333334,669860.4,669956.68125,13517.758333333333,354.0,1.1913431096666665E8,1.68820736E9,4.980760466773334E10,1.0801991732E9,269.3041666666667,0.032737499999999996,2.71100625,7.210864639999999E7,2.8416102375E8,4.7942177225E7,49.0,52.0,52.0,8.666666666666666,1336.1,-0.3013218900977915,16384.0,983.7208333333333,1.6418116528806667E9,5970.346929166667,0.06705113033,33.43,33.43,0.5,20.0,-0.2985123762487194,6.821416666666667,0.27999999999999997
1641818068831,1,0.8065659764215851,0.09210401273204691,8.0,0.5679352347129837,26382.299722222222,4.207018611111112,45081.39148388889,29096.47098765432,8.225205832855865,50021.968583868096,19414.333539094652,3.769049403914403,33386.1639021512,28.014583333333334,693616.0145833334,693605.71875,13573.416666666666,391.1111111111111,1.2244362903333333E8,1.68820736E9,5.057256561777778E10,8.831431393888888E8,244.60972222222222,0.029705555555555554,2.559625694444444,6.703563093333334E7,2.8416102375E8,4.663918843055555E7,56.75,59.75,59.75,9.958333333333334,1002.075,-0.2237990368268922,16384.0,821.2333333333333,1.64181318315475E9,4741.803918055556,0.016433213125000002,44.1,44.1,0.97,20.5,-0.22131225821647363,4.853777777777778,0.39
1641818372857,0,0.6433825589953122,0.09341598731884057,9.0,0.5701890137686971,29872.16148148148,4.558825925925926,50475.439778024695,28412.18061465721,7.718889103107329,48407.30496838109,21907.480327868852,4.124531629549818,37336.94317776687,36.762962962962966,672606.6364197531,672573.1475308642,13574.23827160494,400.5061728395062,1.2033890764444444E8,1.68820736E9,5.62616326674963E10,8.467048403160493E8,256.3777777777778,0.02557469135802469,2.772638888888889,6.964166352592593E7,2.8416102375E8,4.6711060211111106E7,54.098765432098766,57.098765432098766,57.098765432098766,9.516460905349795,894.1155555555555,-0.192409834569523,16384.0,743.1358024691358,1.641813726758111E9,4499.191651851852,0.014834174779999997,51.175,51.175,0.6649999999999999,19.11111111111111,-0.18968572534721906,5.167271604938272,0.445
1641818675369,0,0.563281884360995,0.09446560515388373,9.0,0.5877798109536501,35920.99555555556,3.531677777777778,60188.72313333334,34196.040425531915,4.503037713951064,57776.668104168006,26365.37049180328,3.4654721199786884,44561.307765415404,33.47222222222222,664649.8777777778,664595.8777777778,13573.455555555556,404.77777777777777,1.2184066435555556E8,1.68820736E9,6.681478503537778E10,8.699091605333333E8,287.1333333333333,0.012744444444444444,3.155972222222222,7.219331982222222E7,2.8416102375E8,4.894770644444445E7,54.21111111111111,57.21111111111111,57.21111111111111,9.533333333333333,894.3111111111111,-0.19504419741605267,16384.0,678.7777777777778,1.641813726758111E9,4797.523177777777,0.013709942499999999,51.75,51.75,0.0,19.11111111111111,-0.1923591643110022,4.352777777777778,0.45
1641818978073,-1,0.45418347837963935,0.09446560515388373,9.0,0.5887366762095513,40982.2,3.52106,68313.39810666666,38222.541666666664,4.510533433491667,64250.60087150984,29610.417741935482,3.490093941471505,49791.344735375395,29.394444444444446,652660.6777777778,652667.7944444445,13574.388888888889,404.77777777777777,1.0577773724444444E8,1.68820736E9,7.565784587377777E10,8.890919393777777E8,312.4222222222222,0.00793888888888889,3.451627777777778,7.226140444444445E7,2.8416102375E8,4.651557735555556E7,54.22222222222222,57.22222222222222,57.22222222222222,9.535185185185185,894.3111111111111,-0.1999813092210426,16384.0,595.8777777777777,1.641813726758111E9,5097.522588888889,0.013526030724999999,52.02,52.02,0.03,19.11111111111111,-0.19765696062309807,3.532,0.45
1641819281223,-1,0.2895030425807039,0.09446560515388373,8.0,0.6204542868592766,44460.462222222224,3.5079000000000002,73898.97924666667,41479.08541666667,4.034454355122917,69535.91166110171,32133.006451612902,3.1221060894483874,53886.31903716503,29.22222222222222,652319.2,652317.2777777778,13574.811111111112,404.77777777777777,1.054993208888889E8,1.68820736E9,8.172730668373334E10,8.940220295111111E8,326.06111111111113,0.008061111111111111,3.580738888888889,7.231028337777777E7,2.8416102375E8,4.7276604655555554E7,54.22222222222222,57.22222222222222,57.22222222222222,9.537037037037036,894.3111111111111,-0.20649331720472572,16384.0,508.0888888888889,1.641813726758111E9,5385.855977777778,0.15007696883000002,47.685,47.685,0.0,19.11111111111111,-0.2047143700719069,2.789555555555556,0.40499999999999997
1641819584419,-1,0.19818116039089975,0.09446560515388373,7.0,0.6236778121041489,53698.19142857143,3.4799085714285716,89422.9785342857,45606.38536585366,4.013112323756097,76600.3184773753,34020.23818181818,2.9909007609527274,57157.192582519514,24.414285714285715,668855.8142857143,668908.1857142857,13570.142857142857,386.2857142857143,1.1435571051428571E8,1.68820736E9,9.890763524388571E10,1.0778145765714285E9,381.59285714285716,0.007321428571428572,3.9148642857142852,7.765287497142856E7,2.8416102375E8,4.99381224E7,56.0,59.0,59.0,9.833333333333334,1149.2571428571428,-0.2787023537824463,16384.0,428.8,1.6418125273124287E9,6914.1877,0.2853133464966667,42.05,42.05,0.0,20.0,-0.27771997454809516,1.842,0.35
